period,lat,lon,comid,flow_status,flow_peaks
2.0,4.9827728271484375,-60.44381713867188,9010142,same,0
2.0,4.895175457000732,-60.46308135986328,9010301,same,0
2.0,4.828286647796631,-60.46421432495117,9010421,same,0
2.0,4.757806301116943,-60.47010803222656,9010629,same,0
2.0,4.705195903778076,-60.47760391235352,9010695,same,0
10.0,-1.992993712425232,-55.00226593017578,9030332,up,1
2.0,-19.871057510375977,-54.526309967041016,9099132,down,0
